,Hs,Tp,Dp
2022-01-01 00:00:00,3.47,9.25,82.5
2022-01-01 03:00:00,3.4099998,9.57,67.5
2022-01-01 06:00:00,3.33,9.76,67.5
2022-01-01 09:00:00,3.27,9.849999,67.5
2022-01-01 12:00:00,3.21,9.87,67.5
2022-01-01 15:00:00,3.1799998,9.91,67.5
2022-01-01 18:00:00,3.08,9.88,82.5
2022-01-01 21:00:00,3.1999998,10.05,82.5
2022-01-02 00:00:00,3.1799998,10.01,307.5
2022-01-02 03:00:00,3.11,9.969999,307.5
2022-01-02 06:00:00,3.29,14.65,307.5
2022-01-02 09:00:00,3.1899998,14.36,307.5
2022-01-02 12:00:00,2.98,13.69,307.5
2022-01-02 15:00:00,2.79,13.25,307.5
2022-01-02 18:00:00,2.6299999,9.36,307.5
2022-01-02 21:00:00,2.52,9.3,307.5
2022-01-03 00:00:00,2.3799999,9.19,307.5
2022-01-03 03:00:00,2.26,9.099999,307.5
2022-01-03 06:00:00,2.18,8.889999,307.5
2022-01-03 09:00:00,2.1399999,9.01,307.5
2022-01-03 12:00:00,2.1,9.0199995,307.5
2022-01-03 15:00:00,2.06,9.04,307.5
2022-01-03 18:00:00,2.02,9.05,307.5
2022-01-03 21:00:00,2.0,9.11,307.5
2022-01-04 00:00:00,2.0,9.21,292.5
2022-01-04 03:00:00,1.9699999,9.21,292.5
2022-01-04 06:00:00,1.9399999,9.139999,292.5
2022-01-04 09:00:00,1.99,9.22,292.5
2022-01-04 12:00:00,1.92,9.04,292.5
2022-01-04 15:00:00,1.88,8.88,292.5
2022-01-04 18:00:00,1.88,17.82,7.5
2022-01-04 21:00:00,1.93,17.35,7.5
2022-01-05 00:00:00,2.06,17.09,7.5
2022-01-05 03:00:00,2.24,16.789999,7.5
2022-01-05 06:00:00,2.46,16.6,7.5
2022-01-05 09:00:00,2.7,16.32,7.5
2022-01-05 12:00:00,2.9299998,16.09,7.5
2022-01-05 15:00:00,3.35,16.42,292.5
2022-01-05 18:00:00,3.81,16.699999,307.5
2022-01-05 21:00:00,4.0899997,16.38,307.5
2022-01-06 00:00:00,4.06,15.929999,307.5
2022-01-06 03:00:00,3.85,15.469999,307.5
2022-01-06 06:00:00,3.6699998,14.96,307.5
2022-01-06 09:00:00,3.6,14.75,307.5
2022-01-06 12:00:00,3.52,14.54,307.5
2022-01-06 15:00:00,3.4399998,14.34,307.5
2022-01-06 18:00:00,3.4099998,14.11,307.5
2022-01-06 21:00:00,3.26,13.91,307.5
2022-01-07 00:00:00,3.08,13.66,307.5
2022-01-07 03:00:00,2.9099998,13.53,322.5
2022-01-07 06:00:00,2.79,13.4,322.5
2022-01-07 09:00:00,2.6799998,13.219999,322.5
2022-01-07 12:00:00,2.6,13.11,322.5
2022-01-07 15:00:00,2.52,13.04,322.5
2022-01-07 18:00:00,2.47,13.009999,307.5
2022-01-07 21:00:00,2.4299998,12.929999,307.5
2022-01-08 00:00:00,2.4099998,12.69,307.5
2022-01-08 03:00:00,2.51,12.3,307.5
2022-01-08 06:00:00,2.53,11.63,307.5
2022-01-08 09:00:00,2.85,11.46,307.5
2022-01-08 12:00:00,3.29,12.11,307.5
2022-01-08 15:00:00,3.7099998,13.16,307.5
2022-01-08 18:00:00,3.98,13.82,307.5
2022-01-08 21:00:00,4.13,14.29,307.5
2022-01-09 00:00:00,4.24,14.63,307.5
2022-01-09 03:00:00,4.35,14.929999,307.5
2022-01-09 06:00:00,4.6,15.42,292.5
2022-01-09 09:00:00,4.67,15.61,292.5
2022-01-09 12:00:00,4.48,15.53,292.5
2022-01-09 15:00:00,4.23,15.559999,292.5
2022-01-09 18:00:00,3.9599998,15.469999,292.5
2022-01-09 21:00:00,3.8999999,15.54,292.5
2022-01-10 00:00:00,3.75,15.23,292.5
2022-01-10 03:00:00,3.73,14.9,307.5
2022-01-10 06:00:00,3.74,14.589999,307.5
2022-01-10 09:00:00,3.76,14.16,307.5
2022-01-10 12:00:00,3.79,13.559999,307.5
2022-01-10 15:00:00,3.79,13.19,307.5
2022-01-10 18:00:00,3.81,12.9,307.5
2022-01-10 21:00:00,3.6599998,12.67,307.5
2022-01-11 00:00:00,3.6999998,12.58,307.5
2022-01-11 03:00:00,4.0699997,12.32,307.5
2022-01-11 06:00:00,4.5099998,12.2699995,307.5
2022-01-11 09:00:00,4.7,12.7,307.5
2022-01-11 12:00:00,4.7599998,13.08,307.5
2022-01-11 15:00:00,4.7,13.2,307.5
2022-01-11 18:00:00,4.63,13.24,307.5
