,Hs,Tp,Dp
2022-01-01 00:00:00,4.13,10.0,93.0
2022-01-01 03:00:00,3.73,10.0,84.0
2022-01-01 06:00:00,4.23,10.0,72.0
2022-01-01 09:00:00,3.51,10.0,76.0
2022-01-01 12:00:00,3.18,10.81,63.0
2022-01-01 15:00:00,3.18,10.0,85.0
2022-01-01 18:00:00,3.26,10.0,86.0
2022-01-01 21:00:00,3.11,10.0,74.0
2022-01-02 00:00:00,3.62,10.0,81.0
2022-01-02 03:00:00,3.23,13.79,304.0
2022-01-02 06:00:00,3.12,13.79,296.0
2022-01-02 09:00:00,3.4,10.0,87.0
2022-01-02 12:00:00,3.04,12.9,308.0
2022-01-02 15:00:00,3.02,12.9,304.0
2022-01-02 18:00:00,2.66,12.12,311.0
2022-01-02 21:00:00,2.74,12.12,307.0
2022-01-03 00:00:00,2.61,9.09,96.0
2022-01-03 03:00:00,2.59,9.09,86.0
2022-01-03 06:00:00,2.02,9.09,58.0
2022-01-03 09:00:00,2.38,9.09,79.0
2022-01-03 12:00:00,2.11,9.09,74.0
2022-01-03 15:00:00,2.14,9.09,85.0
2022-01-03 18:00:00,1.93,8.33,72.0
2022-01-03 21:00:00,1.88,8.33,105.0
2022-01-04 00:00:00,1.98,8.33,81.0
2022-01-04 03:00:00,1.88,7.69,77.0
2022-01-04 06:00:00,1.88,8.33,94.0
2022-01-04 09:00:00,1.92,9.09,88.0
2022-01-04 12:00:00,1.67,8.33,91.0
2022-01-04 15:00:00,1.85,9.09,95.0
2022-01-04 18:00:00,1.73,8.33,83.0
2022-01-04 21:00:00,1.7,19.05,2.0
2022-01-05 00:00:00,1.89,17.39,19.0
2022-01-05 03:00:00,2.34,17.39,16.0
2022-01-05 06:00:00,2.42,17.39,13.0
2022-01-05 09:00:00,2.93,16.0,341.0
2022-01-05 12:00:00,3.0,17.39,327.0
2022-01-05 15:00:00,3.44,17.39,318.0
2022-01-05 18:00:00,3.81,16.0,322.0
2022-01-05 21:00:00,3.53,16.0,317.0
2022-01-06 00:00:00,3.96,14.81,304.0
2022-01-06 03:00:00,4.12,16.0,306.0
2022-01-06 06:00:00,3.84,14.81,318.0
2022-01-06 09:00:00,4.01,14.81,310.0
2022-01-06 12:00:00,3.67,13.79,310.0
2022-01-06 15:00:00,3.49,14.81,332.0
2022-01-06 18:00:00,3.58,14.81,302.0
2022-01-06 21:00:00,3.27,14.81,309.0
2022-01-07 00:00:00,3.43,13.79,309.0
2022-01-07 03:00:00,3.09,13.79,292.0
2022-01-07 06:00:00,2.73,12.12,306.0
2022-01-07 09:00:00,3.15,13.79,317.0
2022-01-07 12:00:00,2.6,12.9,295.0
2022-01-07 15:00:00,2.54,12.12,309.0
2022-01-07 18:00:00,2.7,12.9,322.0
2022-01-07 21:00:00,2.48,13.79,307.0
2022-01-08 00:00:00,2.33,12.12,312.0
2022-01-08 03:00:00,2.29,11.43,311.0
2022-01-08 06:00:00,2.56,12.12,306.0
2022-01-08 09:00:00,3.01,12.12,323.0
2022-01-08 12:00:00,3.62,12.12,322.0
2022-01-08 15:00:00,3.22,12.9,308.0
2022-01-08 18:00:00,4.77,12.9,313.0
2022-01-08 21:00:00,4.61,13.79,305.0
2022-01-09 00:00:00,5.04,13.79,299.0
2022-01-09 03:00:00,4.32,13.79,291.0
2022-01-09 06:00:00,4.14,14.81,294.0
2022-01-09 09:00:00,4.84,16.0,303.0
2022-01-09 12:00:00,4.86,14.81,302.0
2022-01-09 15:00:00,4.48,17.39,293.0
2022-01-09 18:00:00,3.76,14.81,301.0
2022-01-09 21:00:00,3.61,16.0,301.0
2022-01-10 00:00:00,3.5,16.0,307.0
2022-01-10 03:00:00,3.27,14.81,299.0
2022-01-10 06:00:00,3.73,14.81,304.0
2022-01-10 09:00:00,3.82,14.81,290.0
2022-01-10 12:00:00,4.18,13.79,290.0
2022-01-10 15:00:00,4.32,12.9,307.0
2022-01-10 18:00:00,3.84,12.9,279.0
2022-01-10 21:00:00,3.6,13.79,305.0
2022-01-11 00:00:00,3.94,13.79,321.0
2022-01-11 03:00:00,4.56,12.9,308.0
2022-01-11 06:00:00,5.12,12.12,319.0
2022-01-11 09:00:00,4.77,12.9,318.0
2022-01-11 12:00:00,5.36,12.9,318.0
2022-01-11 15:00:00,5.06,12.9,301.0
2022-01-11 18:00:00,5.44,13.79,300.0
2022-01-11 21:00:00,5.02,12.9,301.0
